URLs,Label,domain_names
http://www.wmmayhem.com/,Benign,www.wmmayhem.com
http://www.ballymenaunitedyouthacademy.com/,Benign,www.ballymenaunitedyouthacademy.com
http://www.brusselsgaybars.com/,Benign,www.brusselsgaybars.com
http://www.sportsbettingtennis.net/,Benign,www.sportsbettingtennis.net
http://www.i29.mobi/,Benign,www.i29.mobi
http://www.billnelson.senate.gov/,Benign,www.billnelson.senate.gov
http://www.weather.noaa.gov/weather/PH_cc.html,Benign,www.weather.noaa.gov
http://www.eagleeyesunglasses.org/,Benign,www.eagleeyesunglasses.org
http://www.redhawkfly.net/,Benign,www.redhawkfly.net
http://www.ultimatesportsstore.com/category/2289305521/1/Kansas-City-Royals.htm,Benign,www.ultimatesportsstore.com
http://www.qaa.qc.ca/about/,Benign,www.qaa.qc.ca
http://www.navarrebeachregencycondo.com/,Benign,www.navarrebeachregencycondo.com
http://www.abc-design-studios.com/,Benign,www.abc-design-studios.com
http://www.brianmacdonaldmusic.com/,Benign,www.brianmacdonaldmusic.com
http://www.68.12.132.110:8080/Tony/AllAmerican/AllAerican.htm,Benign,www.68.12.132.110:8080
http://www.uclabpa.com/allamericans.aspx,Benign,www.uclabpa.com
http://www.summer-auto.bestgetaways.ca/en_destination-salaberry-de-valleyfield/day_trips,Benign,www.summer-auto.bestgetaways.ca
http://www.walshfamilybantrybay.com/ireland_to_nevada_-_cousins,Benign,www.walshfamilybantrybay.com
http://www.seafoodrestaurantshuntingtonbeach.com/,Benign,www.seafoodrestaurantshuntingtonbeach.com
http://www.mrlancegross.com/,Benign,www.mrlancegross.com
http://www.kcvilla.com/,Benign,www.kcvilla.com
http://www.giggsrapper.com/,Benign,www.giggsrapper.com
http://www.judgeemerson2010.com/?page_id=45,Benign,www.judgeemerson2010.com
http://www.vfw8703.org/,Benign,www.vfw8703.org
http://www.london.usembassy.gov/,Benign,www.london.usembassy.gov
http://www.standardwarriorband.com/index.php,Benign,www.standardwarriorband.com
http://www.ice.cumberlandminorhockey.ca/arena_listings,Benign,www.ice.cumberlandminorhockey.ca
http://www.dbpedia.openlinksw.com:8890/resource/Suzen_Johnson,Benign,www.dbpedia.openlinksw.com:8890
http://www.desautels-events.mcgill.ca/ceo/hachey.php,Benign,www.desautels-events.mcgill.ca
http://www.bollywoodbreak.info/search.asp?category=1&subcategory=B.+B.+C.+Advertising+Pvt.+Ltd,Benign,www.bollywoodbreak.info
http://www.mindperceptionconference.com/,Benign,www.mindperceptionconference.com
http://www.terrebonnerestaurants.info/?abrowse=H,Benign,www.terrebonnerestaurants.info
http://www.theologicalstatic.org/,Benign,www.theologicalstatic.org
http://www.slam.canoe.ca/Slam/Wrestling/Bios/brito.html,Benign,www.slam.canoe.ca
http://www.1tiger-shark.com/caliph-ursula-maciejewski/,Benign,www.1tiger-shark.com
http://www.maggiewilliamsanimation.com/,Benign,www.maggiewilliamsanimation.com
http://www.jam.canoe.ca/Theatre/2009/02/04/8255261-sun.html,Benign,www.jam.canoe.ca
http://www.taraharriers.ie/,Benign,www.taraharriers.ie
http://www.bad-mc.com/,Benign,www.bad-mc.com
http://www.quickfacts.census.gov/qfd/states/19/19193.html,Benign,www.quickfacts.census.gov
http://www.library.kiwix.org:4201/A/Lacrosse.html,Benign,www.library.kiwix.org:4201
http://www.winniethepussy.com/galerias/galeria14.html,Benign,www.winniethepussy.com
http://www.ras-i-production.com/,Benign,www.ras-i-production.com
http://www.lik5.xuex.bddns.org/,Benign,www.lik5.xuex.bddns.org
http://www.thefinger.forsleepwalkers.com/?q=node/65,Benign,www.thefinger.forsleepwalkers.com
http://www.usanationals.net/,Benign,www.usanationals.net
http://www.timstokesconstruction.com/,Benign,www.timstokesconstruction.com
http://www.beninrepatriation.com/,Benign,www.beninrepatriation.com
http://www.stjosephsdedcollege.com/,Benign,www.stjosephsdedcollege.com
http://www.rachelmelvinonline.com/,Benign,www.rachelmelvinonline.com
http://www.urdb.kirlad.com/character.php?show=151,Benign,www.urdb.kirlad.com
http://www.danilevski.org/paramount-pictures-business,Benign,www.danilevski.org
http://www.tinkerstory.com/,Benign,www.tinkerstory.com
http://www.oaklandparklocksmith.com/,Benign,www.oaklandparklocksmith.com
http://www.sabahfm.com/,Benign,www.sabahfm.com
http://www.abidjan.usembassy.gov/,Benign,www.abidjan.usembassy.gov
http://www.laffsexpress.com/comedy/jewish_comedians.htm,Benign,www.laffsexpress.com
http://www.dogearproblems.org/,Benign,www.dogearproblems.org
