url,submission_time,target,domain_names,in_whitelist
https://informaciondaviplata.daviplataing.repl.co/,2023-03-20T10:52:37+00:00,Other,informaciondaviplata.daviplataing.repl.co,False
https://connect-bored-ape.net/,2023-01-13T13:21:23+00:00,Other,connect-bored-ape.net,False
http://bestchangetest1.zzz.com.ua/BetterSwap-exchanger.html,2023-05-05T11:55:12+00:00,Other,bestchangetest1.zzz.com.ua,False
https://rbrosonboard.s3.us-east-005.backblazeb2.com/auth-98a5eadcda7678a.html,2023-04-09T16:21:14+00:00,Other,rbrosonboard.s3.us-east-005.backblazeb2.com,False
http://info.54-95-135-218.cprapid.com/es/,2023-02-08T01:14:19+00:00,Other,info.54-95-135-218.cprapid.com,False
https://beer.stichty.top/,2023-01-15T11:57:35+00:00,Other,beer.stichty.top,False
http://104.248.130.181/modules/6rosseguir.php?,2023-03-14T16:26:24+00:00,Other,104.248.130.181,False
https://foodrisk.eu/lopk/update/optus/optusnet/login/web.php,2023-02-15T03:04:46+00:00,Other,foodrisk.eu,False
https://aus-red.web.app/,2023-05-02T19:14:44+00:00,Other,aus-red.web.app,False
https://ye806m.webwave.dev/,2023-04-17T20:34:05+00:00,Other,ye806m.webwave.dev,False
https://liven.com.vn/343KHndql/ss/index.html,2023-02-20T02:23:39+00:00,Other,liven.com.vn,False
http://www.ubeaatseos.com.arborth.top/,2023-04-16T08:20:32+00:00,Other,ubeaatseos.com.arborth.top,False
http://u1972714.cp.regruhosting.ru/,2023-03-14T16:28:56+00:00,Other,u1972714.cp.regruhosting.ru,False
https://muddy-river-375f.l04r6lrk.workers.dev/,2023-03-19T00:54:18+00:00,Other,muddy-river-375f.l04r6lrk.workers.dev,False
https://3875346537.verificar9284.repl.co/,2023-04-18T23:47:58+00:00,Other,3875346537.verificar9284.repl.co,False
http://www.aecen-co-jp.aesom.egjerwr.cn,2023-04-24T15:47:42+00:00,Other,aecen-co-jp.aesom.egjerwr.cn,False
https://lespamiamilord.firebaseapp.com/,2023-03-18T01:50:54+00:00,Other,lespamiamilord.firebaseapp.com,False
https://ipfs.io/ipfs/bafybeief2z34zkrfkiisublnxyp2yavvv3fy7gqvy3dgayswsynjfnyot4/centralsptyltda1a1sda1.html,2023-03-03T01:01:26+00:00,Other,ipfs.io,False
https://sign-in-att-106300.weeblysite.com/,2023-04-14T22:57:16+00:00,Other,sign-in-att-106300.weeblysite.com,False
http://www.a2service.com/bitrix/admin/notifinfos,2023-05-01T00:35:12+00:00,Other,a2service.com,False
https://stats.sender.net/forms/dLDNWd/view,2023-02-23T13:46:40+00:00,Other,stats.sender.net,False
"https://linkunshorten.com/?url=https://secure.oldschool.com-rs.cz/m=weblogin/oldschool_login181,375,648,71156322,2912&siteNotSafe=true",2022-12-11T01:39:50+00:00,Other,linkunshorten.com,False
https://acesse-facil-portalcliente23.com/luiza/home.php?userID=&amp;uri=oAgVPUhhdtRUsUppSU+keAWd66QDKt4Iukl8AEi3NPc=,2023-01-31T01:32:28+00:00,Other,acesse-facil-portalcliente23.com,False
https://bpzqkfwpy.firebaseapp.com/,2023-05-06T03:51:31+00:00,Other,bpzqkfwpy.firebaseapp.com,False
https://bafybeicss3ig2k54tewdd4rm3wzqv73yy3uak2v7zfkgm5euznckg25ppa.ipfs.dweb.link/mlop.html,2023-04-08T12:33:49+00:00,Other,bafybeicss3ig2k54tewdd4rm3wzqv73yy3uak2v7zfkgm5euznckg25ppa.ipfs.dweb.link,False
https://9kjwd18l.sibpages.com/?gclid=EAIaIQobChMI_PC-297V_AIVw_rICh0nRAO1EAAYASAAEgJAVvD_BwE,2023-01-20T17:45:34+00:00,Other,9kjwd18l.sibpages.com,False
https://optus-signin.builderallwppro.com/wp-admin/optus/optus/,2023-04-20T12:44:24+00:00,Optus,optus-signin.builderallwppro.com,False
https://sp810079.sitebeat.crazydomains.com/,2023-04-07T12:44:42+00:00,Other,sp810079.sitebeat.crazydomains.com,False
https://hasbullanft.xyz/,2023-01-22T04:42:40+00:00,Other,hasbullanft.xyz,False
https://bairespeluqueros.com/wp/privacy-policy/login.html,2023-03-09T16:30:07+00:00,Other,bairespeluqueros.com,False
https://bafybeibbllchmcrzzhr2b55ujw2evqx3yjonstp7qqdkunwjgsgc6a2xuy.ipfs.dweb.link/?filename=QmQarSQAG5ndgPpqPzX4DGVor42MQYENrACnRJrBZYgx9K,2023-03-04T00:40:39+00:00,Other,bafybeibbllchmcrzzhr2b55ujw2evqx3yjonstp7qqdkunwjgsgc6a2xuy.ipfs.dweb.link,False
https://long-recipe-d6a4.x69jlekw.workers.dev/ca37ed05-0e80-44a8-82e8-256bcae9363f,2022-12-06T23:50:31+00:00,Other,long-recipe-d6a4.x69jlekw.workers.dev,False
https://ipfs.io/ipfs/bafkreifg4e3x56b6zlpc7ikkp2g7hcxatmehhslxqlgtmowixhrufmjif4,2023-02-23T01:14:10+00:00,Other,ipfs.io,False
https://sbcglobalsettings.godaddysites.com/,2023-05-05T18:10:48+00:00,Other,sbcglobalsettings.godaddysites.com,False
https://doreenrrnocn.wixsite.com/attt,2023-03-01T15:43:21+00:00,Other,doreenrrnocn.wixsite.com,False
https://www.delmarwire.com/,2022-12-15T14:28:27+00:00,Other,delmarwire.com,False
https://hiperagenda.com,2023-02-17T15:01:37+00:00,Other,hiperagenda.com,False
https://sbbschweiz912392.site/282140535438531821187047129646187344603/swisspass-id-78197/353761716076047595551697405894298952010/481823428317191439215419815000565341204.html,2023-05-01T12:16:14+00:00,Other,sbbschweiz912392.site,False
https://bafybeibbnm7ynx6towdcz7ehwp3xyinfg77uzdrbnwhe2hjvaxcbogz4ha.ipfs.dweb.link/,2023-02-01T12:02:25+00:00,Other,bafybeibbnm7ynx6towdcz7ehwp3xyinfg77uzdrbnwhe2hjvaxcbogz4ha.ipfs.dweb.link,False
https://www.eki-net.codlg.shop/login.php,2023-03-18T00:18:48+00:00,Other,eki-net.codlg.shop,False
https://gateway.pinata.cloud/ipfs/bafybeihxptow7hycar3aghbxd4xvws4sucyqh2tzgz3wvo7eoj4qkrgahy/,2023-04-20T01:42:49+00:00,Other,gateway.pinata.cloud,False
https://0nline-lngreso.com/index.php,2023-04-10T18:16:48+00:00,Scotiabank,0nline-lngreso.com,False
https://www.brooksshoesca.com/login.html,2022-07-08T16:56:26+00:00,Other,brooksshoesca.com,False
https://upsv-zcmp.campaign-view.eu/ua/viewinbrowser?m=1&mrd=11a6b6687951d6b5&n=11699e4c0c5e177&od=3z03bbeace5da8fcee2d172fe0484461e0&rd=11a6b668795a252f&sd=11a6b6687951d6c7,2022-09-19T17:21:36+00:00,Other,upsv-zcmp.campaign-view.eu,False
https://www.buffet169.com/,2023-01-20T11:41:16+00:00,Steam,buffet169.com,False
http://updatepromodigibank.com,2023-04-10T16:00:26+00:00,"eBay, Inc.",updatepromodigibank.com,False
